,PA18:PM10,PA18:PM25,PA18:NO2,PA18:NO,PA18:NOX,PA18:O3
,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème,PARIS 18ème
,PA18,PA18,PA18,PA18,PA18,PA18
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2023-01-12 04:00:00Z,15.7,6.1,6.7,0.8,7.8,68.4
2023-01-12 05:00:00Z,9.0,2.8,7.7,0.9,9.1,66.3
2023-01-12 06:00:00Z,16.0,8.7,10.7,1.4,12.8,65.1
2023-01-12 07:00:00Z,17.7,6.9,15.3,1.6,17.8,60.9
2023-01-12 08:00:00Z,11.7,3.9,20.1,2.0,23.2,56.6
2023-01-12 09:00:00Z,10.0,3.2,21.5,1.9,24.5,55.6
2023-01-12 10:00:00Z,10.8,3.0,21.3,2.1,24.7,54.6
2023-01-12 11:00:00Z,11.5,4.9,22.0,2.3,25.6,54.2
2023-01-12 12:00:00Z,11.2,4.7,19.6,2.1,22.9,57.2
2023-01-12 13:00:00Z,9.0,4.4,16.5,2.8,20.6,60.0
2023-01-12 14:00:00Z,11.4,5.3,15.7,2.2,19.2,60.8
2023-01-12 15:00:00Z,10.6,5.7,15.1,1.7,17.7,60.2
2023-01-12 16:00:00Z,9.7,6.3,14.6,1.3,16.7,62.8
2023-01-12 17:00:00Z,8.9,3.4,14.6,1.3,16.6,62.0
2023-01-12 18:00:00Z,9.6,7.2,14.8,1.2,16.7,61.2
2023-01-12 19:00:00Z,6.4,4.6,14.8,1.5,17.0,61.7
2023-01-12 20:00:00Z,7.0,3.2,14.0,1.4,16.2,64.3
2023-01-12 21:00:00Z,5.4,3.6,13.0,1.1,14.6,66.3
2023-01-12 22:00:00Z,5.6,3.6,11.6,1.1,13.3,66.9
2023-01-12 23:00:00Z,2.9,4.1,9.8,1.0,11.3,66.3
2023-01-13 00:00:00Z,2.9,5.5,11.2,1.2,13.0,63.9
2023-01-13 01:00:00Z,1.0,5.0,9.5,0.9,10.8,76.9
2023-01-13 02:00:00Z,2.1,1.3,9.8,1.1,11.5,78.9
2023-01-13 03:00:00Z,1.8,2.9,8.9,1.0,10.4,78.6
2023-01-13 04:00:00Z,4.1,3.6,7.3,0.7,8.1,78.5
2023-01-13 05:00:00Z,2.2,3.5,8.7,0.9,10.0,75.0
2023-01-13 06:00:00Z,5.9,4.5,13.8,1.5,16.1,68.5
2023-01-13 07:00:00Z,11.1,4.6,18.4,1.8,21.2,63.2
2023-01-13 08:00:00Z,10.7,2.3,25.0,2.3,28.5,56.8
2023-01-13 09:00:00Z,13.7,6.0,25.4,2.3,29.1,55.1
2023-01-13 10:00:00Z,16.7,8.3,19.6,3.3,24.7,60.4
2023-01-13 11:00:00Z,18.4,7.6,13.4,2.7,17.5,68.1
2023-01-13 12:00:00Z,11.8,5.7,12.5,2.8,16.8,69.4
2023-01-13 13:00:00Z,12.8,7.6,12.9,3.1,17.7,72.9
2023-01-13 14:00:00Z,15.1,5.7,12.8,2.5,16.6,72.6
2023-01-13 15:00:00Z,14.2,7.3,15.7,2.1,18.9,69.8
2023-01-13 16:00:00Z,14.1,7.2,15.0,1.7,17.6,68.7
2023-01-13 17:00:00Z,12.6,4.9,21.1,1.6,23.5,60.0
2023-01-13 18:00:00Z,13.8,7.3,22.8,1.9,25.8,59.1
2023-01-13 19:00:00Z,12.8,5.2,25.8,1.7,28.4,53.4
2023-01-13 20:00:00Z,15.2,9.5,32.1,2.1,35.4,47.2
2023-01-13 21:00:00Z,20.0,11.4,27.1,1.8,30.0,50.0
2023-01-13 22:00:00Z,20.4,11.0,28.2,1.9,31.0,46.3
2023-01-13 23:00:00Z,21.0,12.1,25.8,1.8,28.5,46.8
2023-01-14 00:00:00Z,21.6,8.2,19.9,1.2,21.7,51.4
2023-01-14 01:00:00Z,16.7,5.6,17.3,0.8,18.5,53.9
2023-01-14 02:00:00Z,8.9,4.1,19.3,0.9,20.8,45.8
2023-01-14 03:00:00Z,7.5,5.6,20.5,1.0,22.0,45.0
2023-01-14 04:00:00Z,6.3,5.4,10.6,1.0,12.2,65.5
2023-01-14 05:00:00Z,10.9,3.9,9.0,0.7,10.1,67.1
2023-01-14 06:00:00Z,16.2,4.7,9.5,0.7,10.7,69.1
2023-01-14 07:00:00Z,14.5,6.2,9.5,0.8,10.7,70.1
2023-01-14 08:00:00Z,9.2,4.3,10.1,1.2,11.9,68.2
2023-01-14 09:00:00Z,7.6,3.9,10.7,1.0,12.3,64.1
2023-01-14 10:00:00Z,6.2,4.6,13.5,1.7,16.0,60.2
2023-01-14 11:00:00Z,6.3,3.8,12.3,1.3,14.2,60.0
2023-01-14 12:00:00Z,4.9,3.0,12.8,1.6,15.2,57.5
2023-01-14 13:00:00Z,5.4,3.0,12.6,1.5,14.9,55.1
2023-01-14 14:00:00Z,3.7,2.2,11.3,1.3,13.3,53.8
2023-01-14 15:00:00Z,2.0,4.4,12.8,1.2,14.7,51.0
2023-01-14 16:00:00Z,4.5,3.3,14.6,1.5,16.7,49.4
